losses,delta,sigma1,sigma2,rho,filename
1.3003668365478518,2.1e-06,59.0,94.0,0.4,crewmate-256.png
4.333687347412109,1e-07,61.0,122.0,0.5,strawberry-256.png
0.5797722930908203,1e-07,6.0,128.0,0.8,cute-emoji-256.png
1.011288864135742,2.1e-06,27.0,46.0,0.4,pink-panther-256.png
0.5496923370361327,2.1e-06,126.0,62.0,0.1,fish-256.png
0.12465056790123456,1e-07,93.0,143.0,0.5,redsquare-256.png
0.8636700499999999,1e-07,57.0,111.0,0.7000000000000001,flower-256.png
0.26274858271604934,0.0032330999999999996,94.0,95.0,0.6,green-circle-256.png
0.3922116543209876,1.01e-05,21.0,118.0,1.1,orange-pill-256.png
2.8335106658935545,6.1e-06,118.0,72.0,0.5,hello-kitty-256.jpg
0.45229251098632806,1e-07,100.0,140.0,0.8,cool-sun-256.png
8.837098342895507,0.0006320999999999999,8.0,58.0,0.7000000000000001,spongebob-shock-256.png
3.4714297027587895,1e-07,27.0,81.0,0.5,cowboy-256.jpg
6.570148056030273,1.41e-05,96.0,22.0,0.8,roblox-256.png
2.6186036682128906,0.00020109999999999998,20.0,110.0,1.0,minecraft-256.png
